Date,Time,HomeTeam,HomeGoals,AwayTeam,AwayGoals,GameID
2025-01-25,3:00 pm,Ottawa 67's,5,Kingston Frontenacs,4,27756
2025-01-25,7:00 pm,Erie Otters,3,Kitchener Rangers,4,27754
2025-01-25,7:00 pm,Flint Firebirds,5,Brampton Steelheads,3,27755
2025-01-25,7:00 pm,Owen Sound Attack,5,Sarnia Sting,4,27757
2025-01-25,7:30 pm,Barrie Colts,6,Brantford Bulldogs,3,27753
2025-01-26,2:00 pm,Niagara IceDogs,6,Erie Otters,3,27758
2025-01-26,2:00 pm,North Bay Battalion,3,Sudbury Wolves,2,27759
2025-01-26,2:00 pm,Ottawa 67's,2,Saginaw Spirit,7,27761
2025-01-26,2:07 pm,Soo Greyhounds,3,London Knights,7,27762
2025-01-26,4:05 pm,Windsor Spitfires,5,Brampton Steelheads,2,27763
2025-01-26,6:05 pm,Oshawa Generals,1,Guelph Storm,6,27760
2025-01-29,7:00 pm,Owen Sound Attack,3,Erie Otters,4,27764
2025-01-29,7:07 pm,Soo Greyhounds,4,Kitchener Rangers,5,27765
2025-01-30,7:00 pm,Barrie Colts,5,Ottawa 67's,3,27766
2025-01-30,7:00 pm,North Bay Battalion,2,Brantford Bulldogs,3,27767
2025-01-30,7:05 pm,Peterborough Petes,3,Brampton Steelheads,4,27768
2025-01-30,7:05 pm,Saginaw Spirit,5,Kingston Frontenacs,9,27769
2025-01-30,7:05 pm,Windsor Spitfires,1,Flint Firebirds,5,27770
2025-01-31,7:00 pm,Brampton Steelheads,4,Peterborough Petes,5,27771
2025-01-31,7:00 pm,Flint Firebirds,2,Kitchener Rangers,3,27772
2025-01-31,7:00 pm,London Knights,4,Erie Otters,2,27774
2025-01-31,7:05 pm,Oshawa Generals,3,Barrie Colts,2,27775
2025-01-31,7:05 pm,Sudbury Wolves,8,North Bay Battalion,3,27777
2025-01-31,7:07 pm,Guelph Storm,3,Sarnia Sting,4,27773
2025-01-31,7:07 pm,Soo Greyhounds,4,Brantford Bulldogs,6,27776
2025-02-01,4:00 pm,Owen Sound Attack,3,Ottawa 67's,1,27780
2025-02-01,7:00 pm,Flint Firebirds,4,Kingston Frontenacs,7,27779
2025-02-01,7:05 pm,Peterborough Petes,3,Oshawa Generals,2,27781
2025-02-01,7:05 pm,Saginaw Spirit,5,Kitchener Rangers,4,27782
2025-02-01,7:05 pm,Sarnia Sting,4,Erie Otters,1,27783
2025-02-01,7:30 pm,Barrie Colts,7,Niagara IceDogs,6,27778
2025-02-02,1:00 pm,North Bay Battalion,4,Niagara IceDogs,3,27785
2025-02-02,2:00 pm,Owen Sound Attack,5,Brampton Steelheads,3,27786
2025-02-02,2:05 pm,Sudbury Wolves,3,Brantford Bulldogs,9,27789
2025-02-02,2:07 pm,Guelph Storm,3,Ottawa 67's,4,27784
2025-02-02,4:00 pm,Sarnia Sting,2,Kingston Frontenacs,4,27788
2025-02-02,5:30 pm,Saginaw Spirit,5,Soo Greyhounds,2,27787
2025-02-02,7:00 pm,Windsor Spitfires,4,London Knights,3,27790
2025-02-04,11:00 am,Erie Otters,4,Guelph Storm,3,27791
2025-02-04,6:30 pm,London Knights,5,Kitchener Rangers,3,27792
2025-02-04,7:00 pm,Barrie Colts,3,Kingston Frontenacs,2,27678
2025-02-05,7:00 pm,Brantford Bulldogs,2,Sudbury Wolves,1,27793
2025-02-05,7:00 pm,Ottawa 67's,1,Oshawa Generals,8,27794
2025-02-05,7:05 pm,Windsor Spitfires,3,Saginaw Spirit,6,27795
2025-02-06,7:00 pm,North Bay Battalion,4,Soo Greyhounds,7,27796
2025-02-06,7:05 pm,Peterborough Petes,2,Flint Firebirds,7,27797
2025-02-07,7:00 pm,Brampton Steelheads,10,Erie Otters,3,27798
2025-02-07,7:00 pm,Brantford Bulldogs,4,Saginaw Spirit,2,27799
2025-02-07,7:00 pm,Kingston Frontenacs,3,Flint Firebirds,1,27801
2025-02-07,7:00 pm,Kitchener Rangers,4,Owen Sound Attack,3,27802
2025-02-07,7:00 pm,London Knights,3,Peterborough Petes,1,27803
2025-02-07,7:00 pm,Niagara IceDogs,3,Sudbury Wolves,7,27804
2025-02-07,7:05 pm,Oshawa Generals,5,Ottawa 67's,2,27805
2025-02-07,7:05 pm,Windsor Spitfires,7,Sarnia Sting,2,27806
2025-02-07,7:07 pm,Guelph Storm,5,North Bay Battalion,4,27800
2025-02-08,4:00 pm,Brampton Steelheads,6,Kingston Frontenacs,0,27808
2025-02-08,7:00 pm,Erie Otters,7,Sudbury Wolves,4,27809
2025-02-08,7:00 pm,Niagara IceDogs,1,Kitchener Rangers,9,27811
2025-02-08,7:00 pm,Owen Sound Attack,4,North Bay Battalion,1,27812
2025-02-08,7:05 pm,Sarnia Sting,2,Peterborough Petes,3,27813
2025-02-08,7:05 pm,Windsor Spitfires,3,Brantford Bulldogs,2,27814
2025-02-08,7:07 pm,Guelph Storm,7,Saginaw Spirit,10,27810
2025-02-08,7:30 pm,Barrie Colts,4,Soo Greyhounds,2,27807
2025-02-09,2:00 pm,Ottawa 67's,2,Flint Firebirds,5,27816
2025-02-09,2:00 pm,Owen Sound Attack,2,Kingston Frontenacs,4,27817
2025-02-09,2:05 pm,Oshawa Generals,6,Soo Greyhounds,0,27815
2025-02-11,7:00 pm,Kitchener Rangers,3,Oshawa Generals,4,27818
2025-02-12,7:00 pm,Erie Otters,2,Niagara IceDogs,1,27819
2025-02-12,7:00 pm,Ottawa 67's,3,Peterborough Petes,0,27820
2025-02-12,7:05 pm,Sarnia Sting,3,Guelph Storm,4,27822
2025-02-12,7:05 pm,Sudbury Wolves,3,Brampton Steelheads,7,27823
2025-02-12,7:07 pm,Soo Greyhounds,4,Saginaw Spirit,8,27821
2025-02-13,7:00 pm,Barrie Colts,4,London Knights,8,27824
2025-02-13,7:00 pm,North Bay Battalion,4,Brampton Steelheads,2,27825
2025-02-13,7:05 pm,Windsor Spitfires,8,Sarnia Sting,2,27827
2025-02-14,7:00 pm,Brantford Bulldogs,10,Niagara IceDogs,1,27828
2025-02-14,7:00 pm,Flint Firebirds,2,Sudbury Wolves,3,27829
2025-02-14,7:00 pm,Kingston Frontenacs,4,Kitchener Rangers,2,27831
2025-02-14,7:00 pm,London Knights,7,Soo Greyhounds,3,27832
2025-02-14,7:00 pm,Owen Sound Attack,8,Erie Otters,5,27833
2025-02-14,7:05 pm,Saginaw Spirit,3,Windsor Spitfires,2,27834
2025-02-14,7:05 pm,Peterborough Petes,1,Ottawa 67's,4,28042
2025-02-14,7:07 pm,Guelph Storm,5,Oshawa Generals,7,27830
2025-02-15,7:00 pm,Owen Sound Attack,3,Erie Otters,4,27838
2025-02-15,7:05 pm,Oshawa Generals,2,Brampton Steelheads,4,27837
2025-02-15,7:05 pm,Peterborough Petes,3,Kingston Frontenacs,2,27839
2025-02-15,7:05 pm,Saginaw Spirit,8,Sudbury Wolves,3,27840
2025-02-15,7:05 pm,Sarnia Sting,1,Soo Greyhounds,3,27841
2025-02-15,7:30 pm,Barrie Colts,4,North Bay Battalion,5,27835
2025-02-16,2:00 pm,Niagara IceDogs,4,Brantford Bulldogs,5,27842
2025-02-16,2:00 pm,Ottawa 67's,1,Kitchener Rangers,5,27843
2025-02-17,2:00 pm,Brampton Steelheads,6,Niagara IceDogs,0,27844
2025-02-17,2:00 pm,Brantford Bulldogs,8,Soo Greyhounds,6,27845
2025-02-17,2:00 pm,London Knights,4,Flint Firebirds,1,27848
2025-02-17,2:00 pm,Ottawa 67's,2,North Bay Battalion,3,27850
2025-02-17,2:05 pm,Oshawa Generals,2,Erie Otters,1,27849
2025-02-17,2:05 pm,Sarnia Sting,3,Saginaw Spirit,7,27852
2025-02-17,2:05 pm,Windsor Spitfires,4,Owen Sound Attack,1,27853
2025-02-17,2:07 pm,Guelph Storm,7,Sudbury Wolves,6,27846
2025-02-17,3:05 pm,Peterborough Petes,5,Kitchener Rangers,3,27851
2025-02-18,7:00 pm,Kingston Frontenacs,6,Barrie Colts,4,27847
2025-02-19,7:00 pm,Brampton Steelheads,4,Oshawa Generals,2,27854
2025-02-20,7:00 pm,Barrie Colts,1,Owen Sound Attack,5,27855
2025-02-20,7:05 pm,Peterborough Petes,3,Brantford Bulldogs,4,27856
2025-02-20,7:05 pm,Saginaw Spirit,5,North Bay Battalion,1,27857
2025-02-21,7:00 pm,Erie Otters,2,Oshawa Generals,3,27858
2025-02-21,7:00 pm,Flint Firebirds,1,North Bay Battalion,4,27859
2025-02-21,7:00 pm,Kingston Frontenacs,4,Brantford Bulldogs,2,27860
2025-02-21,7:00 pm,Kitchener Rangers,4,Barrie Colts,1,27861
2025-02-21,7:00 pm,London Knights,4,Brampton Steelheads,3,27862
2025-02-21,7:00 pm,Ottawa 67's,6,Niagara IceDogs,2,27863
2025-02-21,7:05 pm,Sarnia Sting,6,Windsor Spitfires,5,27865
2025-02-21,7:05 pm,Sudbury Wolves,8,Owen Sound Attack,1,27866
2025-02-21,7:07 pm,Soo Greyhounds,4,Guelph Storm,3,27864
2025-02-22,4:00 pm,Brampton Steelheads,8,Sudbury Wolves,1,27868
2025-02-22,4:00 pm,Kingston Frontenacs,6,Niagara IceDogs,3,27871
2025-02-22,7:00 pm,Erie Otters,1,London Knights,5,27869
2025-02-22,7:00 pm,Flint Firebirds,5,Windsor Spitfires,4,27870
2025-02-22,7:05 pm,Saginaw Spirit,2,Guelph Storm,5,27872
