Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8350,Nick Lardis,NO,16,,2005.0,5.11,185,RW,Brantford Bulldogs,55,60,39,99,1.8,13,22,17,11,7,16,39,39.4,175.5
8641,Patrick Thomas,NO,93,,2004.0,6.00,178,C,Brantford Bulldogs,57,23,67,90,1.58,9,12,25,6,1,10,37,41.1,145.5
8965,Jake O'Brien,NO,44,,2007.0,6.02,170,C,Brantford Bulldogs,57,29,54,83,1.46,-8,9,35,2,2,16,44,53.0,115.0
8430,Cole Brown,NO,92,,2005.0,6.03,189,RW,Brantford Bulldogs,56,29,30,59,1.05,-4,11,14,3,0,44,25,42.4,55.0
8798,Tomáš Hamara,NO,9,,2004.0,6.00,192,D,Brantford Bulldogs,48,8,41,49,1.02,9,4,24,2,0,35,28,57.1,51.5
8752,Marek Vanacker,NO,78,,2006.0,6.01,170,LW,Brantford Bulldogs,34,18,13,31,0.91,4,5,4,1,1,30,9,29.0,29.5
8807,Owen Protz,NO,12,,2006.0,6.02,207,D,Brantford Bulldogs,56,5,23,28,0.5,4,0,1,2,0,46,1,3.6,2.5
9004,Calvin Crombie,NO,14,,2005.0,6.00,186,RW,Brantford Bulldogs,44,3,21,24,0.55,-6,0,3,1,0,59,3,12.5,-27.5
8968,Joshua Avery,YES,86,,2007.0,6.01,170,C,Brantford Bulldogs,49,8,12,20,0.41,-1,1,0,0,0,14,1,5.0,19.0
8377,Thomas Budnick,NO,24,,2004.0,6.01,210,D,Brantford Bulldogs,35,5,13,18,0.51,17,0,1,1,0,58,1,5.6,-11.5
8433,Lucas Moore,NO,4,,2005.0,5.10,193,D,Brantford Bulldogs,57,3,13,16,0.28,-2,1,0,0,0,60,1,6.2,-36.5
9149,Aiden O'Donnell,YES,22,,2008.0,6.01,172,LW,Brantford Bulldogs,47,6,9,15,0.32,-3,0,1,1,0,10,1,6.7,12.5
8713,Luca Testa,NO,91,,2006.0,6.01,184,C,Brantford Bulldogs,29,6,8,14,0.48,4,1,1,1,0,6,2,14.3,22.0
9151,Nikolas Rossetto,YES,19,,2008.0,5.09,156,RW,Brantford Bulldogs,47,6,7,13,0.28,-3,0,0,0,0,2,0,0.0,17.5
8639,Noah Nelson,NO,11,,2005.0,6.01,183,C,Brantford Bulldogs,52,7,5,12,0.23,-9,0,1,2,0,36,1,8.3,-23.5
9268,Adam Jiricek,NO,5,,2006.0,6.03,180,D,Brantford Bulldogs,20,3,7,10,0.5,7,0,2,0,0,2,2,20.0,21.5
8969,Ben Radley,YES,77,,2007.0,6.00,180,D,Brantford Bulldogs,51,1,5,6,0.12,2,0,0,0,0,10,0,0.0,1.5
8967,Dylan Tsherna,NO,18,,2007.0,6.00,177,RW,Brantford Bulldogs,31,1,4,5,0.16,-8,0,0,0,0,16,0,0.0,-16.0
9003,Daniel Chen,NO,27,,2006.0,6.05,196,D,Brantford Bulldogs,44,1,3,4,0.09,1,0,0,0,0,13,0,0.0,-5.5
9152,Parker Holmes,YES,53,,2007.0,6.04,214,LW,Brantford Bulldogs,21,1,0,1,0.05,-8,0,0,0,0,14,0,0.0,-20.0
9150,Patrick Babin,YES,17,,2008.0,5.11,168,D,Brantford Bulldogs,6,0,0,0,0.0,-1,0,0,0,0,0,0,,-1.0
9093,Niko Krmpotic,YES,10,,2007.0,6.01,191,D,Brantford Bulldogs,36,0,0,0,0.0,-5,0,0,0,0,9,0,,-14.0
