Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8704,Kaden Pitre,NO,17,,2006.0,6.00,185,C,Flint Firebirds,54,22,30,52,0.96,2,1,4,4,1,51,5,9.6,40.0
8824,Sam McCue,NO,12,,2005.0,6.02,191,LW,Flint Firebirds,49,27,19,46,0.94,5,7,4,1,0,58,11,23.9,29.5
8705,Nathan Aspinall,NO,76,,2006.0,6.07,195,LW,Flint Firebirds,55,17,25,42,0.76,-5,4,7,3,1,34,11,26.2,32.5
8381,Christopher Thibodeau,NO,9,,2005.0,5.10,158,RW,Flint Firebirds,49,15,26,41,0.84,7,3,10,2,2,19,13,31.7,57.0
8813,Alex Kostov,NO,47,,2006.0,6.04,195,RW,Flint Firebirds,59,14,26,40,0.68,11,1,3,2,2,73,4,10.0,5.0
8927,Jimmy Lombardi,NO,10,,2007.0,6.00,178,C,Flint Firebirds,55,13,23,36,0.65,3,2,5,0,1,42,7,19.4,21.5
8657,Matthew Mania,NO,19,,2005.0,6.01,190,D,Flint Firebirds,59,6,30,36,0.61,10,2,8,0,0,49,10,27.8,18.0
8816,Connor Clattenburg,NO,23,,2005.0,6.02,205,LW,Flint Firebirds,44,16,18,34,0.77,2,4,3,4,1,108,7,20.6,-47.0
8458,Evan Konyen,NO,91,,2004.0,6.00,180,RW,Flint Firebirds,52,14,18,32,0.62,-10,2,3,1,0,41,5,15.6,4.0
8539,Blake Smith,NO,5,,2004.0,6.05,225,D,Flint Firebirds,57,9,20,29,0.51,14,2,2,1,0,44,4,13.8,18.0
8481,Matthew Wang,NO,28,,2005.0,6.02,202,LW,Flint Firebirds,59,15,11,26,0.44,6,1,0,2,0,55,1,3.8,-2.5
8970,Urban Podrekar,NO,98,,2005.0,6.00,194,D,Flint Firebirds,56,8,15,23,0.41,-1,3,3,1,0,27,6,26.1,10.5
8461,Nolan Collins,NO,77,,2004.0,6.04,215,D,Flint Firebirds,36,4,13,17,0.47,8,1,6,1,0,52,7,41.2,-16.5
9270,Hayden Reid,NO,18,,2006.0,6.0,181,C,Flint Firebirds,43,9,5,14,0.33,-1,1,0,0,0,22,1,7.1,2.5
8926,Jeremy Martin,NO,15,,2007.0,6.01,195,LW,Flint Firebirds,55,6,7,13,0.24,-7,0,0,0,0,14,0,0.0,1.5
9227,Karlis Flugins,YES,21,,2007.0,5.11,185,C,Flint Firebirds,43,4,8,12,0.28,6,0,0,1,0,4,0,0.0,22.0
8966,Artem Frolov,NO,26,,2007.0,6.01,193,D,Flint Firebirds,56,2,9,11,0.2,2,0,0,0,0,23,0,0.0,-3.5
9240,Josh Colosimo,NO,13,,2006.0,6.02,185,C,Flint Firebirds,33,2,6,8,0.24,5,0,0,1,0,45,0,0.0,-27.0
9046,Rylan Fellinger,NO,65,,2007.0,6.04,200,D,Flint Firebirds,55,3,4,7,0.13,0,0,0,0,1,21,0,0.0,-9.0
8930,Jack D'Arcy,YES,25,,2007.0,5.10,162,D,Flint Firebirds,37,1,3,4,0.11,2,0,0,0,0,14,0,0.0,-5.5
8929,Max Anderson,NO,22,,2007.0,5.10,160,C,Flint Firebirds,38,1,2,3,0.08,2,0,0,0,0,24,0,0.0,-17.0
9241,Christian Colosimo,YES,73,,2008.0,6.05,215,D,Flint Firebirds,4,0,0,0,0.0,-1,0,0,0,0,2,0,,-3.0
