Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8673,Adrian Misaljevic,NO,10,,2004.0,5.11,175,LW,Kitchener Rangers,67,31,38,69,1.03,18,9,16,7,3,14,25,36.2,123.0
8362,Trent Swick,NO,57,,2004.0,6.06,208,LW,Kitchener Rangers,60,27,34,61,1.02,11,6,6,3,2,48,12,19.7,68.0
9276,Jack Pridham,NO,24,,2005.0,6.02,185,RW,Kitchener Rangers,48,27,27,54,1.13,22,10,8,6,1,38,18,33.3,78.5
8948,Cameron Reid,NO,18,,2007.0,6.00,175,LD,Kitchener Rangers,67,14,40,54,0.81,39,3,22,3,0,44,25,46.3,83.0
8945,Tanner Lam,NO,37,,2007.0,5.10,160,RW,Kitchener Rangers,66,13,40,53,0.8,19,2,7,1,0,24,9,17.0,81.0
8947,Luca Romano,NO,86,,2007.0,5.11,170,C,Kitchener Rangers,66,25,26,51,0.77,6,8,11,3,1,22,19,37.3,73.0
8801,Luke Ellinas,NO,19,,2006.0,6.01,186,C,Kitchener Rangers,50,20,17,37,0.74,16,6,2,6,1,51,8,21.6,30.5
9324,Christian Humphreys,NO,48,,2006.0,5.11,170,C,Kitchener Rangers,28,11,22,33,1.18,8,3,7,3,0,8,10,30.3,55.0
8873,Jakub Chromiak,NO,3,,2005.0,5.11,183,RD,Kitchener Rangers,53,4,28,32,0.6,15,2,13,1,0,20,15,46.9,45.0
8758,Andrew Vermeulen,NO,27,,2006.0,6.02,200,C,Kitchener Rangers,63,14,17,31,0.49,14,3,2,1,1,20,5,16.1,47.5
8748,Carson Campbell,NO,8,,2006.0,6.01,180,RD,Kitchener Rangers,65,3,25,28,0.43,31,0,0,0,0,41,0,0.0,33.5
8465,Matthew Andonovski,NO,5,,2005.0,6.02,200,LD,Kitchener Rangers,65,6,15,21,0.32,10,2,4,2,0,132,6,28.6,-87.5
8450,Chris Grisolia,NO,85,,2005.0,6.00,187,LW,Kitchener Rangers,54,10,9,19,0.35,14,0,0,0,3,26,0,0.0,21.5
8603,Cameron Mercer,NO,14,,2005.0,6.00,180,C,Kitchener Rangers,62,7,12,19,0.31,14,0,0,1,0,34,0,0.0,12.0
9078,Cameron Arquette,YES,11,,2007.0,5.08,170,RW,Kitchener Rangers,52,8,7,15,0.29,-3,0,0,1,0,11,0,0.0,12.5
9162,Alexander Bilecki,YES,89,,2008.0,6.01,155,LD,Kitchener Rangers,44,3,11,14,0.32,6,0,1,0,0,29,1,7.1,-0.5
9081,Max Dirracolo,NO,25,,2006.0,6.04,216,LD,Kitchener Rangers,64,3,8,11,0.17,2,0,1,1,0,72,1,9.1,-52.0
9281,Haeden Ellis,YES,13,,2007.0,5.10,161,RW,Kitchener Rangers,35,3,6,9,0.26,6,0,0,0,0,2,0,0.0,19.0
9168,Matthew Hlacar,NO,61,,2006.0,6.03,205,LW,Kitchener Rangers,43,7,1,8,0.19,2,0,0,1,0,62,0,0.0,-44.5
9165,Jack LaBrash,YES,93,,2007.0,6.05,196,LW,Kitchener Rangers,35,2,5,7,0.2,0,0,0,0,0,9,0,0.0,2.5
9166,Evan Headrick,YES,81,,2008.0,5.07,150,RW,Kitchener Rangers,18,3,1,4,0.22,1,0,1,1,0,0,1,25.0,8.5
8944,Matheas Stark,NO,28,,2007.0,6.00,161,LW,Kitchener Rangers,12,2,2,4,0.33,-8,0,1,0,0,2,1,25.0,-3.0
8946,Andrew MacNiel,YES,43,,2007.0,6.02,170,RD,Kitchener Rangers,32,0,3,3,0.09,6,0,0,0,0,20,0,0.0,-9.5
9161,Kaden Schneider,YES,21,,2007.0,6.03,181,LD,Kitchener Rangers,13,0,1,1,0.08,-4,0,0,0,0,0,0,0.0,-2.5
9169,Weston Cameron,YES,17,,2008.0,6.03,170,LW,Kitchener Rangers,4,0,0,0,0.0,-3,0,0,0,0,6,0,,-9.0
9311,Jacob Xu,YES,96,,2008.0,6.02,181,LD,Kitchener Rangers,7,0,0,0,0.0,-2,0,0,0,0,0,0,,-2.0
