Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8769,Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,45,42,50,92,2.04,34,11,19,7,2,31,30,32.6,162.0
8350,Nick Lardis,NO,16,,2005.0,5.11,185,RW,Brantford Bulldogs,48,49,33,82,1.71,12,16,14,9,6,16,30,36.6,143.5
8709,Liam Greentree,NO,66,,2006.0,6.03,216,LW,Windsor Spitfires,48,34,47,81,1.69,35,8,16,5,7,34,24,29.6,139.5
9103,Ilya Protas,NO,37,,2006.0,6.05,200,C,Windsor Spitfires,44,34,43,77,1.75,33,11,14,5,1,22,25,32.5,143.5
8641,Patrick Thomas,NO,93,,2004.0,6.00,178,C,Brantford Bulldogs,50,22,51,73,1.46,8,11,17,6,1,8,28,38.4,120.5
8777,Kieron Walton,NO,22,,2006.0,6.06,216,LW,Sudbury Wolves,47,28,44,72,1.53,4,11,21,6,1,30,32,44.4,96.0
8963,Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,48,34,37,71,1.48,-1,10,11,4,4,8,21,29.6,114.5
8764,Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,48,31,40,71,1.48,9,10,12,3,2,22,22,31.0,109.0
8384,Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,48,29,40,69,1.44,24,10,11,0,2,4,21,30.4,138.0
8965,Jake O'Brien,NO,44,,2007.0,6.02,170,C,Brantford Bulldogs,50,26,43,69,1.38,-8,9,25,2,1,12,34,49.3,96.5
8724,Beckett Sennecke,NO,45,,2006.0,6.04,195,RW,Oshawa Generals,40,29,39,68,1.7,17,10,18,2,0,45,28,41.2,88.5
8773,Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,43,24,44,68,1.58,29,7,21,3,0,61,28,41.2,82.0
8978,Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,43,27,40,67,1.56,22,8,18,4,2,23,26,38.8,113.0
8743,Porter Martone,NO,94,,2006.0,6.03,208,RW,Brampton Steelheads,38,23,44,67,1.76,10,3,13,2,0,55,16,23.9,67.0
8538,Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,40,18,45,63,1.58,33,8,18,1,1,20,26,41.3,116.5
8716,Henry Mews,NO,88,,2006.0,6.01,183,D,Sudbury Wolves,48,12,51,63,1.31,-8,5,27,1,0,60,32,50.8,32.5
8438,Luke Misa,NO,33,,2005.0,5.10,176,C,Brampton Steelheads,47,27,34,61,1.3,26,5,5,3,1,2,10,16.4,129.0
8349,Carson Rehkopf,NO,16,,2005.0,6.02,202,RW,Brampton Steelheads,38,27,32,59,1.55,17,6,7,0,3,18,13,22.0,101.0
8543,Luca Marrelli,NO,19,,2005.0,6.02,185,D,Oshawa Generals,49,16,43,59,1.2,19,4,20,4,0,19,24,40.7,96.5
8826,Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,37,20,38,58,1.57,37,10,11,4,0,24,21,36.2,110.0
8348,Sam Alfano,NO,33,,2004.0,6.04,204,RW,Erie Otters,47,30,27,57,1.21,11,9,3,2,1,43,12,21.1,68.5
9218,Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,48,28,29,57,1.19,-1,13,8,4,3,19,21,36.8,79.5
9116,Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,41,19,37,56,1.37,38,4,10,2,2,68,14,25.0,63.5
8469,Pano Fimis,NO,98,,2004.0,5.11,183,C,Erie Otters,47,19,37,56,1.19,15,3,14,2,1,26,17,30.4,82.5
8756,Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,43,26,29,55,1.28,6,6,8,3,1,20,14,25.5,81.5
8456,Kocha Delic,NO,13,,2004.0,5.11,198,C,Sudbury Wolves,45,22,31,53,1.18,-4,5,16,3,1,56,21,39.6,30.5
8366,Calem Mangone,NO,7,,2004.0,5.09,165,RW,Saginaw Spirit,45,19,34,53,1.18,18,3,13,1,1,40,16,30.2,67.0
8413,Calum Ritchie,NO,21,,2005.0,6.03,190,C,Oshawa Generals,29,11,42,53,1.83,27,2,15,5,0,40,17,32.1,72.0
8577,Marco Mignosa,NO,26,,2005.0,5.11,170,RW,Soo Greyhounds,39,22,30,52,1.33,-4,3,15,3,0,17,18,34.6,68.0
8785,Malcolm Spence,NO,17,,2006.0,6.02,201,LW,Erie Otters,45,20,30,50,1.11,13,4,5,5,1,30,9,18.0,68.0
8407,Ethan Miedema,NO,15,,2005.0,6.04,212,LW,Kingston Frontenacs,48,19,30,49,1.02,13,4,2,6,0,55,6,12.2,41.0
8587,Luca Pinelli,NO,20,,2005.0,5.09,169,LW,Ottawa 67's,36,29,19,48,1.33,-9,14,10,1,1,43,24,50.0,34.5
