Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8538,Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,48,22,54,76,1.58,43,8,20,2,2,22,28,36.8,146.0
8826,Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,45,23,50,73,1.62,52,10,11,5,0,28,21,28.8,145.0
8712,Sam O'Reilly,NO,23,,2006.0,6.01,190,C,London Knights,54,21,35,56,1.04,47,4,8,4,0,31,12,21.4,110.5
8714,William Nicholl,NO,73,,2006.0,6.00,184,C,London Knights,54,17,32,49,0.91,32,2,2,1,0,22,4,8.2,92.0
8425,Easton Cowan,NO,7,,2005.0,6.00,185,RW,London Knights,37,21,25,46,1.24,18,6,10,5,3,32,16,34.8,65.5
9275,Blake Montgomery,NO,47,,2005.0,6.04,195,LW,London Knights,40,21,25,46,1.15,32,1,4,3,0,8,5,10.9,103.5
8566,Cam Allen,NO,17,,2005.0,6.00,197,D,London Knights,45,11,31,42,0.93,16,3,6,1,0,57,9,21.4,27.5
8879,Jacob Julien,NO,13,,2004.0,6.04,190,C,London Knights,55,10,32,42,0.76,12,3,8,4,0,44,11,26.2,36.0
8422,Landon Sim,NO,90,,2004.0,5.11,185,LW,London Knights,45,25,15,40,0.89,22,5,2,2,1,85,7,17.5,9.5
9044,Evan Van Gorp,NO,14,,2006.0,5.10,165,LW,London Knights,55,17,19,36,0.65,18,2,3,4,2,10,5,13.9,70.5
9042,Henry Brzustewicz,NO,2,,2007.0,6.01,194,D,London Knights,55,10,26,36,0.65,20,2,9,2,0,73,11,30.6,6.0
8426,Oliver Bonk,NO,59,,2005.0,6.02,210,D,London Knights,43,9,25,34,0.79,33,2,10,1,0,30,12,35.3,58.5
8931,Kasper Halttunen,NO,12,,2005.0,6.03,207,RW,London Knights,28,14,17,31,1.11,18,4,4,3,0,36,8,25.8,35.5
9109,Jesse Nurmi,NO,44,,2005.0,6.00,180,LW,London Knights,47,8,18,26,0.55,9,0,3,0,0,10,3,11.5,42.0
9043,Jared Woolley,NO,51,,2006.0,6.05,207,D,London Knights,56,9,15,24,0.43,43,1,1,2,0,68,2,8.3,15.5
9242,Noah Read,YES,92,,2007.0,6.00,170,C,London Knights,34,7,12,19,0.56,8,0,2,1,0,14,2,10.5,26.0
9052,Rene Van Bommel,NO,55,,2006.0,5.11,185,LW,London Knights,42,3,10,13,0.31,7,0,0,0,0,57,0,0.0,-29.0
9245,Noah Aboflan,NO,74,,2005.0,6.00,192,LW,London Knights,32,4,4,8,0.25,6,0,1,0,0,33,1,12.5,-13.0
9298,Andoni Fimis,NO,4,,2006.0,6.01,185,D,London Knights,27,1,6,7,0.26,17,0,0,1,0,0,0,0.0,28.0
9041,Ryder Boulton,NO,11,,2006.0,5.10,194,LW,London Knights,33,2,4,6,0.18,9,0,0,0,0,65,0,0.0,-46.0
8981,PJ Fagan II,YES,67,,2007.0,6.01,205,D,London Knights,37,2,2,4,0.11,3,0,0,1,0,28,0,0.0,-18.0
8736,Liam Spencer,NO,49,,2006.0,6.05,220,D,London Knights,27,0,1,1,0.04,4,0,0,0,0,23,0,0.0,-17.5
