Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8963,Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,60,38,41,79,1.32,-10,11,11,4,4,18,22,27.8,109.5
8756,Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,57,33,38,71,1.25,-1,7,11,3,2,30,18,25.4,92.0
9218,Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,63,34,34,68,1.08,-11,16,9,4,3,21,25,36.8,87.0
8964,Ethan Czata,NO,12,,2007.0,6.01,175,C,Niagara IceDogs,63,20,32,52,0.83,-10,4,11,3,1,70,15,28.8,8.0
9007,Jack Brauti,NO,6,,2006.0,6.00,165,D,Niagara IceDogs,59,8,36,44,0.75,-8,1,16,2,0,41,17,38.6,21.0
9142,Braidy Wassilyn,YES,66,,2008.0,5.11,194,C,Niagara IceDogs,57,8,31,39,0.68,-15,4,9,0,0,16,13,33.3,31.5
8638,Mike Levin,NO,16,,2005.0,5.08,158,LW,Niagara IceDogs,57,13,20,33,0.58,-11,1,5,1,1,42,6,18.2,3.0
8460,Alex Assadourian,NO,8,,2005.0,5.10,172,C,Niagara IceDogs,33,13,18,31,0.94,9,1,5,2,1,24,6,19.4,38.0
8817,Matthew Virgilio,NO,48,,2006.0,5.11,196,D,Niagara IceDogs,63,4,20,24,0.38,-24,2,9,0,0,63,11,45.8,-49.0
8747,Sean Doherty,NO,44,,2006.0,6.01,182,RW,Niagara IceDogs,63,13,10,23,0.37,-15,3,2,0,1,20,5,21.7,6.0
8982,Blake Arrowsmith,YES,18,,2007.0,6.01,186,RW,Niagara IceDogs,53,10,10,20,0.38,-8,1,1,1,0,56,2,10.0,-29.0
8971,Ivan Galiyanov,NO,92,,2007.0,5.10,174,LW,Niagara IceDogs,63,10,10,20,0.32,-12,0,0,1,0,16,0,0.0,7.0
8428,Mathieu Paris,NO,54,,2005.0,6.00,182,RW,Niagara IceDogs,26,7,12,19,0.73,14,2,6,2,0,2,8,42.1,44.0
9143,Max Crete,YES,23,,2008.0,5.09,182,C,Niagara IceDogs,63,11,7,18,0.29,-24,2,1,1,1,56,3,16.7,-47.5
8681,Noah Van Vliet,NO,5,,2004.0,6.02,222,D,Niagara IceDogs,63,7,11,18,0.29,-2,0,0,2,0,111,0,0.0,-82.5
8473,Andrew Wycisk,NO,75,,2005.0,5.11,170,D,Niagara IceDogs,57,3,12,15,0.26,-12,0,3,1,0,18,3,20.0,-6.0
8877,Blair Scott,NO,17,,2005.0,6.02,190,D,Niagara IceDogs,62,1,11,12,0.19,-4,0,0,0,0,90,0,0.0,-75.5
8753,Callum Cheynowski,NO,7,,2006.0,6.00,197,D,Niagara IceDogs,63,0,11,11,0.17,-21,0,2,0,0,44,2,18.2,-48.5
9076,Rafek Dianov,YES,22,,2007.0,5.10,175,LW,Niagara IceDogs,22,1,1,2,0.09,-2,0,0,0,0,2,0,0.0,-0.5
9144,Nick Frasca,YES,78,,2008.0,6.01,185,D,Niagara IceDogs,17,0,1,1,0.06,-3,0,0,0,0,6,0,0.0,-7.5
9010,Darcy Dewachter,YES,24,,2007.0,5.11,183,D,Niagara IceDogs,27,0,1,1,0.04,3,0,0,0,0,8,0,0.0,-3.5
9147,Charlie Hotles,YES,74,,2008.0,6.02,180,C,Niagara IceDogs,30,0,1,1,0.03,-5,0,0,0,0,6,0,0.0,-9.5
