Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8721,Ethan Procyszyn,NO,21,,2006.0,6.03,192,C,North Bay Battalion,49,28,20,48,0.98,-15,15,5,2,1,54,20,41.7,17.0
8361,Jacob LeBlanc,NO,18,,2004.0,6.01,186,D,North Bay Battalion,49,7,35,42,0.86,-32,2,19,0,0,22,21,50.0,12.5
8924,Shamar Moses,NO,24,,2007.0,6.01,202,LW,North Bay Battalion,47,11,28,39,0.83,-14,3,18,2,1,31,21,53.8,19.0
8684,Zach Wigle,NO,26,,2004.0,6.00,193,C,North Bay Battalion,49,9,19,28,0.57,3,0,2,2,3,4,2,7.1,45.5
8719,Jacob Therrien,NO,6,,2006.0,5.08,170,RW,North Bay Battalion,38,8,14,22,0.58,-29,6,9,1,0,69,15,68.2,-61.0
8360,Andrew LeBlanc,NO,27,,2004.0,6.00,183,C,North Bay Battalion,41,9,12,21,0.51,-27,3,4,2,0,32,7,33.3,-23.0
8915,Lirim Amidovski,NO,29,,2006.0,6.01,175,RW,North Bay Battalion,48,12,8,20,0.42,-17,1,1,4,1,31,2,10.0,-12.0
9289,Nick Wellenreiter,NO,28,,2006.0,5.11,167,RW,North Bay Battalion,26,7,7,14,0.54,-14,0,2,1,0,4,2,14.3,6.5
9175,Parker Vaughan,YES,16,,2008.0,6.01,189,RW,North Bay Battalion,45,6,6,12,0.27,0,0,0,2,0,19,0,0.0,2.0
9233,Kent Greer,YES,5,,2008.0,5.08,163,D,North Bay Battalion,39,4,8,12,0.31,-4,1,0,0,0,12,1,8.3,4.0
8987,Nolan Laird,NO,19,,2006.0,6.01,180,C,North Bay Battalion,45,7,3,10,0.22,-7,0,0,0,0,30,0,0.0,-18.5
9234,Ryder Carey,YES,11,,2008.0,6.00,176,C,North Bay Battalion,49,4,6,10,0.2,-17,0,1,0,0,23,1,10.0,-23.0
9232,Aaron Enright,YES,4,,2007.0,6.00,211,D,North Bay Battalion,39,2,8,10,0.26,2,1,0,0,0,16,1,10.0,2.0
9040,Reyth Smith,YES,20,,2007.0,6.02,173,LW,North Bay Battalion,42,4,4,8,0.19,-2,0,0,0,0,38,0,0.0,-26.0
8940,Adrian Manzo,NO,2,,2007.0,6.00,183,D,North Bay Battalion,43,1,6,7,0.16,-6,0,0,0,0,14,0,0.0,-9.0
9235,Stepan Chukharev,YES,23,,2007.0,6.02,192,RW,North Bay Battalion,32,2,4,6,0.19,-1,0,0,0,0,13,0,0.0,-4.0
8408,Bronson Ride,NO,25,,2005.0,6.07,212,D,North Bay Battalion,49,2,4,6,0.12,-18,0,0,0,0,71,0,0.0,-79.0
9085,Briir Long,YES,9,,2007.0,5.11,154,C,North Bay Battalion,32,3,2,5,0.16,-6,0,0,0,0,15,0,0.0,-12.0
8985,Ihnat Pazii,NO,13,,2006.0,5.09,156,LW,North Bay Battalion,19,0,5,5,0.26,-3,0,1,0,0,11,1,20.0,-6.5
8718,Brayden Turley,NO,7,,2006.0,6.01,195,D,North Bay Battalion,47,0,4,4,0.09,-17,0,0,0,0,52,0,0.0,-63.0
8988,Zach Wilson,YES,22,,2007.0,6.06,187,D,North Bay Battalion,31,1,1,2,0.06,-6,0,0,0,0,20,0,0.0,-22.5
