Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8724,Beckett Sennecke,NO,45,,2006.0,6.04,195,RW,Oshawa Generals,43,31,41,72,1.67,23,10,18,2,0,51,28,38.9,95.5
8543,Luca Marrelli,NO,19,,2005.0,6.02,185,D,Oshawa Generals,52,16,46,62,1.19,24,4,20,4,0,19,24,38.7,106.0
8413,Calum Ritchie,NO,21,,2005.0,6.03,190,C,Oshawa Generals,32,14,45,59,1.84,32,3,15,6,0,40,18,30.5,87.5
8388,Colby Barlow,NO,39,,2005.0,6.01,190,LW,Oshawa Generals,48,28,20,48,1.0,5,13,5,1,0,33,18,37.5,58.0
8540,Luke Torrance,NO,17,,2004.0,6.01,201,LW,Oshawa Generals,48,20,26,46,0.96,17,8,11,3,0,19,19,41.3,77.0
8932,Owen Griffin,NO,96,,2007.0,5.10,160,C,Oshawa Generals,47,12,23,35,0.74,-4,1,10,3,0,31,11,31.4,23.5
8414,Matthew Buckley,NO,11,,2005.0,5.11,183,RW,Oshawa Generals,51,12,19,31,0.61,2,5,2,0,0,25,7,22.6,29.5
9129,Lauri Sinivuori,NO,42,,2006.0,6.01,180,LW,Oshawa Generals,52,14,14,28,0.54,11,2,3,4,1,31,5,17.9,29.0
8497,Luca D'Amato,NO,4,,2004.0,5.09,160,D,Oshawa Generals,51,5,23,28,0.55,5,0,8,0,1,27,8,28.6,22.5
8725,Ben Danford,NO,77,,2006.0,6.02,192,D,Oshawa Generals,47,4,16,20,0.43,4,0,2,2,0,44,2,10.0,-8.0
8563,Zackary Sandhu,NO,72,,2005.0,6.02,195,D,Oshawa Generals,48,7,12,19,0.4,10,0,0,0,1,78,0,0.0,-36.0
9126,Brooks Rogowski,YES,10,,2008.0,6.06,220,RW,Oshawa Generals,51,7,11,18,0.35,-3,1,0,0,0,4,1,5.6,23.5
8794,Ethan Toms,NO,61,,2006.0,5.11,180,C,Oshawa Generals,49,9,8,17,0.35,-4,0,0,0,0,24,0,0.0,2.0
8570,Andrew Gibson,NO,92,,2005.0,6.04,210,D,Oshawa Generals,39,6,9,15,0.38,10,0,2,3,0,51,2,13.3,-15.5
8412,Ethan Martin,NO,14,,2005.0,6.06,222,LW,Oshawa Generals,41,8,4,12,0.29,9,0,0,1,0,58,0,0.0,-27.0
9088,Harrison Franssen,NO,12,,2006.0,6.03,190,C,Oshawa Generals,48,5,5,10,0.21,-4,0,0,0,0,51,0,0.0,-37.5
9128,David Svozil,NO,29,,2006.0,6.02,177,D,Oshawa Generals,37,1,9,10,0.27,4,0,0,0,0,15,0,0.0,4.5
9325,Noah Powell,NO,15,,2005.0,6.02,205,RW,Oshawa Generals,13,2,7,9,0.69,7,1,1,0,0,8,2,22.2,13.5
9305,Anthony Figliomeni,NO,8,,2008.0,5.11,195,RW,Oshawa Generals,7,2,2,4,0.57,2,0,0,1,0,8,0,0.0,1.0
9096,Tyler O'Toole,NO,23,,2006.0,6.01,198,RW,Oshawa Generals,27,2,0,2,0.07,-3,0,0,0,0,65,0,0.0,-64.0
9293,Simon Wang,YES,7,,2007.0,6.06,210,D,Oshawa Generals,16,0,1,1,0.06,1,0,0,0,0,2,0,0.0,0.5
