Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8769,Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,50,50,56,106,2.12,40,15,19,9,4,33,34,32.1,191.0
8773,Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,48,27,50,77,1.6,31,7,27,3,0,69,34,44.2,91.0
9116,Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,46,21,42,63,1.37,42,5,11,2,2,70,16,25.4,77.0
8366,Calem Mangone,NO,7,,2004.0,5.09,165,RW,Saginaw Spirit,50,23,39,62,1.24,21,4,15,2,1,40,19,30.6,85.5
8991,Carson Harmer,YES,13,,2007.0,5.10,185,C,Saginaw Spirit,53,19,24,43,0.81,17,6,4,2,1,25,10,23.3,66.0
8990,Jacob Cloutier,YES,42,,2007.0,5.10,170,RW,Saginaw Spirit,52,21,21,42,0.81,15,5,1,1,1,35,6,14.3,53.5
9118,Dimian Zhilkin,YES,71,,2008.0,5.09,160,RW,Saginaw Spirit,39,8,20,28,0.72,1,2,5,0,0,33,7,25.0,14.0
8399,Nic Sima,NO,92,,2005.0,6.03,195,RW,Saginaw Spirit,47,13,13,26,0.55,-15,3,6,2,1,75,9,34.6,-44.5
8505,Sebastien Gervais,NO,15,,2005.0,6.01,190,C,Saginaw Spirit,44,5,19,24,0.55,-11,0,4,1,0,18,4,16.7,9.5
9117,Igor Chernyshov,NO,25,,2005.0,6.03,225,RW,Saginaw Spirit,8,11,12,23,2.88,7,2,6,1,0,0,8,34.8,47.0
8352,James Guo,NO,73,,2005.0,6.01,195,RD,Saginaw Spirit,49,4,19,23,0.47,17,0,2,1,0,29,2,8.7,24.5
8703,Kaeden Johnston,NO,20,,2005.0,6.01,175,RW,Saginaw Spirit,48,5,13,18,0.38,-18,0,0,0,0,26,0,0.0,-14.5
9002,Graydon Jones,YES,9,,2007.0,6.00,175,LD,Saginaw Spirit,51,3,15,18,0.35,1,0,2,0,0,34,2,11.1,-4.5
8503,PJ Forgione,NO,27,,2004.0,6.02,215,LD,Saginaw Spirit,53,3,13,16,0.3,21,0,0,1,0,48,0,0.0,-1.5
8774,Josh Glavin,NO,5,,2006.0,6.02,200,LD,Saginaw Spirit,52,0,12,12,0.23,-10,0,0,0,0,87,0,0.0,-79.0
8839,Liam Storch,NO,21,,2006.0,5.10,150,RW,Saginaw Spirit,50,3,5,8,0.16,-9,0,0,1,0,6,0,0.0,-1.5
8973,Ethan Weir,NO,37,,2007.0,5.11,195,RW,Saginaw Spirit,31,2,5,7,0.23,-7,1,2,0,0,0,3,42.9,4.5
8974,Xander Velliaris,NO,17,,2007.0,6.03,205,LD,Saginaw Spirit,38,1,5,6,0.16,-3,0,0,0,0,29,0,0.0,-22.5
9153,Brody Najim,YES,8,,2008.0,5.10,145,LW,Saginaw Spirit,41,2,3,5,0.12,-7,0,0,0,0,8,0,0.0,-6.5
9119,Kaden Sienko,YES,23,,2008.0,6.01,185,RD,Saginaw Spirit,16,0,3,3,0.19,4,0,0,0,0,8,0,0.0,0.5
9319,Hayden Barch,YES,6,,2007.0,6.01,190,RD,Saginaw Spirit,14,1,0,1,0.07,-1,0,0,0,0,10,0,0.0,-9.0
