Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8675,Easton Wainwright,NO,12,,2005.0,5.10,190,C,Sarnia Sting,55,14,25,39,0.71,0,3,5,4,0,44,8,20.5,21.5
8920,Ryan Brown,NO,23,,2007.0,5.11,172,LW,Sarnia Sting,58,15,23,38,0.66,-3,1,4,2,2,32,5,13.2,29.5
8510,Zach Filak,NO,11,,2004.0,6.01,185,C,Sarnia Sting,58,11,27,38,0.66,-9,3,6,0,1,61,9,23.7,-7.5
8878,Mitch Young,NO,5,,2005.0,6.02,190,D,Sarnia Sting,50,7,31,38,0.76,-2,1,9,1,0,66,10,26.3,-7.5
9123,Beckham Edwards,YES,81,,2008.0,6.01,170,C,Sarnia Sting,52,21,14,35,0.67,-9,7,3,1,0,6,10,28.6,48.0
9124,Alessandro Di Iorio,YES,17,,2008.0,6.01,175,C,Sarnia Sting,48,10,25,35,0.73,-17,2,12,1,1,10,14,40.0,30.5
8881,Lukas Fischer,NO,13,,2006.0,6.03,184,D,Sarnia Sting,41,15,19,34,0.83,-10,5,5,3,0,71,10,29.4,-22.5
8837,Tyson Doucette,NO,25,,2004.0,6.00,181,LW,Sarnia Sting,55,18,15,33,0.6,-22,6,7,0,0,21,13,39.4,15.5
9121,Ruslan Karimov,YES,19,,2007.0,6.00,200,LW,Sarnia Sting,56,12,12,24,0.43,-7,1,4,1,0,49,5,20.8,-14.0
9285,Liam Beamish,YES,40,,2007.0,5.11,179,C,Sarnia Sting,30,9,12,21,0.7,4,2,2,0,0,20,4,19.0,20.0
8812,Daylen Moses,NO,24,,2005.0,6.02,180,C,Sarnia Sting,50,8,4,12,0.24,-9,0,0,1,1,39,0,0.0,-26.0
8986,Carter Kostuch,NO,18,,2007.0,5.11,165,LW,Sarnia Sting,30,4,8,12,0.4,-5,0,0,0,0,18,0,0.0,-3.0
8922,Hughston Hurt,NO,72,,2007.0,6.01,178,D,Sarnia Sting,57,3,8,11,0.19,-6,0,0,0,0,38,0,0.0,-26.0
9330,Matthew Manza,YES,55,,2007.0,6.00,178,RW,Sarnia Sting,16,4,5,9,0.56,-1,1,0,0,0,8,1,11.1,6.5
8921,James Barr,NO,16,,2007.0,6.01,182,D,Sarnia Sting,48,1,7,8,0.17,-17,0,1,0,0,30,1,12.5,-34.5
9055,Dylan Luecke,YES,8,,2007.0,6.02,170,RW,Sarnia Sting,30,4,2,6,0.2,-7,0,0,1,1,36,0,0.0,-32.0
9295,Jack O'Brien,NO,6,,2005.0,6.02,205,D,Sarnia Sting,30,2,4,6,0.2,-8,0,0,0,0,14,0,0.0,-12.0
9045,Casey Bridgewater,YES,43,,2007.0,5.10,175,D,Sarnia Sting,50,2,4,6,0.12,-5,0,0,1,0,11,0,0.0,-6.0
9120,Jack Bodin,NO,9,,2006.0,6.02,220,D,Sarnia Sting,41,0,6,6,0.15,-31,0,0,0,0,32,0,0.0,-54.0
8923,Nathan Omeri,NO,27,,2006.0,5.11,175,D,Sarnia Sting,34,1,2,3,0.09,0,0,1,1,0,12,1,33.3,-7.0
8889,Carson Hall,NO,10,,2006.0,6.02,190,LW,Sarnia Sting,25,1,0,1,0.04,-9,0,0,0,0,31,0,0.0,-38.0
9238,JJ Franceschetti,NO,15,,2005.0,5.09,185,LW,Sarnia Sting,28,0,1,1,0.04,-5,0,0,0,0,47,0,0.0,-50.5
9239,Ryan Chamberlain,YES,22,,2008.0,6.02,175,LW,Sarnia Sting,19,0,0,0,0.0,-5,0,0,0,0,4,0,,-9.0
