Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8577,Marco Mignosa,NO,26,,2005.0,5.11,170,RW,Soo Greyhounds,43,22,35,57,1.33,-5,3,15,3,0,17,18,31.6,74.5
9018,Brady Martin,NO,44,,2007.0,6.00,174,C,Soo Greyhounds,43,25,23,48,1.12,13,8,3,1,2,56,11,22.9,41.5
8579,Justin Cloutier,NO,24,,2005.0,5.09,186,RW,Soo Greyhounds,53,23,21,44,0.83,-3,5,7,1,2,57,12,27.3,17.5
9265,Noel Nordh,NO,43,,2005.0,6.02,198,LW,Soo Greyhounds,32,13,21,34,1.06,-9,5,11,1,0,6,16,47.1,42.5
9017,Travis Hayes,NO,13,,2007.0,5.11,169,RW,Soo Greyhounds,50,15,18,33,0.66,0,1,2,0,0,45,3,9.1,12.0
9299,Chase Reid,YES,25,,2007.0,6.02,185,D,Soo Greyhounds,25,2,24,26,1.04,-1,1,9,0,0,28,10,38.5,11.0
8572,Owen Allard,NO,14,,2004.0,6.02,200,C,Soo Greyhounds,23,12,11,23,1.0,-6,7,2,3,1,0,9,39.1,34.5
9221,Brady R Smith,YES,12,,2007.0,5.11.,173,LW,Soo Greyhounds,42,5,13,18,0.43,-27,1,1,1,0,12,2,11.1,-9.5
8571,Caeden Carlisle,NO,7,,2004.0,6.01.,197,D,Soo Greyhounds,51,1,14,15,0.29,-11,0,4,0,0,60,4,26.7,-48.0
9279,Jordan Charron,YES,27,,2007.0,6.02,190,RW,Soo Greyhounds,33,9,5,14,0.42,-20,0,0,1,0,33,0,0.0,-27.5
9125,Brady T Smith,YES,11,,2008.0,6.00,181,RW,Soo Greyhounds,51,6,8,14,0.27,-14,3,3,1,0,18,6,42.9,-8.0
9222,Carson Andrew,YES,71,,2008.0,6.01,184,RW,Soo Greyhounds,53,6,8,14,0.26,-22,0,1,1,0,8,1,7.1,-6.0
8810,Brodie McConnell-Barker,NO,8,,2006.0,5.11.,185,D,Soo Greyhounds,41,2,10,12,0.29,-17,0,2,2,0,24,2,16.7,-22.0
9057,Hunter Solomon,YES,17,,2007.0,6.00.,180,D,Soo Greyhounds,53,2,9,11,0.21,-16,0,0,0,0,29,0,0.0,-27.5
8900,Spencer Evans,NO,16,,2006.0,6.00,189,D,Soo Greyhounds,38,1,8,9,0.24,-5,0,1,0,0,36,1,11.1,-27.0
9172,David Holub,YES,23,,2007.0,5.09,180,D,Soo Greyhounds,41,3,4,7,0.17,-11,0,0,0,0,14,0,0.0,-13.0
8979,Charlie Hilton,NO,20,,2006.0,6.05,212,LW,Soo Greyhounds,44,2,5,7,0.16,-12,0,1,0,0,52,1,14.3,-52.5
9223,Erik Muxlow,YES,22,,2007.0,5.10.,183,LW,Soo Greyhounds,48,1,6,7,0.15,-18,0,0,0,0,6,0,0.0,-13.0
9220,Keegan Gillen,YES,3,,2007.0,5.10.,180,D,Soo Greyhounds,45,0,6,6,0.13,-15,0,0,0,0,13,0,0.0,-19.0
8814,Christopher Brown,NO,67,,2006.0,5.11.,180,C,Soo Greyhounds,20,2,3,5,0.25,-2,0,1,1,0,6,1,20.0,0.5
8899,Tate Vader,NO,9,,2006.0,5.11,190,C,Soo Greyhounds,48,1,0,1,0.02,-19,0,0,0,0,20,0,0.0,-37.0
9036,Brayden Velliaris,NO,18,,2005.0,6.04,220,D,Soo Greyhounds,34,0,1,1,0.03,-8,0,0,0,0,41,0,0.0,-47.5
