Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8777,Kieron Walton,NO,22,,2006.0,6.06,216,LW,Sudbury Wolves,57,35,49,84,1.47,-4,14,24,7,1,39,38,45.2,100.5
8716,Henry Mews,NO,88,,2006.0,6.01,183,D,Sudbury Wolves,60,14,62,76,1.27,-9,5,31,1,0,72,36,47.4,40.0
8776,Nathan Villeneuve,NO,89,,2006.0,6.00,195,C,Sudbury Wolves,51,31,29,60,1.18,-11,10,6,3,1,110,16,26.7,-15.5
8431,Alex Pharand,NO,21,,2005.0,6.03,192,RW,Sudbury Wolves,57,17,39,56,0.98,-6,8,10,1,2,38,18,32.1,48.5
8456,Kocha Delic,NO,13,,2004.0,5.11,198,C,Sudbury Wolves,46,22,32,54,1.17,-3,5,16,3,1,56,21,38.9,33.0
8459,Quentin Musty,NO,27,,2005.0,6.02,200,LW,Sudbury Wolves,29,22,24,46,1.59,-6,6,7,1,1,12,13,28.3,62.0
8560,Chase Coughlan,NO,9,,2005.0,5.11,194,RW,Sudbury Wolves,56,21,16,37,0.66,0,4,6,2,1,99,10,27.0,-33.0
8402,Nick DeAngelis,NO,95,,2004.0,6.02,188,D,Sudbury Wolves,59,6,29,35,0.59,2,3,19,0,1,38,22,62.9,19.5
8887,Ondrej Molnar,NO,96,,2005.0,5.10,175,LW,Sudbury Wolves,41,14,13,27,0.66,-6,4,5,1,0,28,9,33.3,13.5
8351,Donovan McCoy,NO,19,,2004.0,6.01,205,D,Sudbury Wolves,51,5,22,27,0.53,-9,1,11,1,0,69,12,44.4,-35.0
9012,Hudson Chitaroni,YES,91,,2007.0,5.10,178,C,Sudbury Wolves,59,6,14,20,0.34,-9,2,3,4,0,39,5,25.0,-15.0
9200,Rowan Henderson,YES,77,,2007.0,5.10,178,LW,Sudbury Wolves,57,7,11,18,0.32,-3,0,0,2,1,27,0,0.0,0.5
8661,Noah Roberts,NO,12,,2005.0,6.01,195,D,Sudbury Wolves,57,4,12,16,0.28,-19,0,0,0,1,112,0,0.0,-105.0
8828,Lucas Di Giantommaso,NO,92,,2005.0,6.00,178,RW,Sudbury Wolves,48,7,7,14,0.29,-15,1,1,0,0,17,2,14.3,-7.5
9203,Luca Blonda,YES,93,,2008.0,5.11,173,D,Sudbury Wolves,58,5,8,13,0.22,-14,1,1,1,0,35,2,15.4,-27.0
9099,Blake Clayton,YES,24,,2007.0,6.00,165,C,Sudbury Wolves,35,5,5,10,0.29,4,0,0,2,1,43,0,0.0,-21.5
9332,Jack Ziliotto,NO,16,,2005.0,6.02,185,RW,Sudbury Wolves,19,4,6,10,0.53,-4,1,1,0,0,6,2,20.0,7.0
8671,Gavin Ewles,NO,7,,2005.0,6.01,188,D,Sudbury Wolves,43,1,9,10,0.23,4,0,0,0,0,20,0,0.0,-0.5
9198,Ethan Dean,YES,11,,2008.0,5.10,166,C,Sudbury Wolves,47,2,5,7,0.15,-11,0,0,0,0,16,0,0.0,-15.5
9249,Tayjon Street,NO,73,,2005.0,6.01,205,LW,Sudbury Wolves,54,3,2,5,0.09,-11,1,1,0,0,67,2,40.0,-69.0
8827,Braydon Bruce,NO,20,,2006.0,6.05,212,D,Sudbury Wolves,20,0,4,4,0.2,1,0,0,0,0,6,0,0.0,1.0
9049,Trevor O’Dell,NO,4,,2006.0,6.03,172,D,Sudbury Wolves,50,0,4,4,0.08,-6,0,0,0,0,29,0,0.0,-29.0
